Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Rhode Island,2019,40,10/05/2019,203,186,,41,,13,0,,,,,53,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2019,41,10/12/2019,201,191,0,48,,14,,,,,,38,11,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,42,10/19/2019,203,176,,40,,,,,,,,41,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,43,10/26/2019,188,168,,44,,,,,,,0,45,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2019,44,11/02/2019,189,172,,39,,,,,,,,48,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2019,45,11/09/2019,190,171,,49,,,0,16,,,,29,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2019,46,11/16/2019,192,175,,44,,,,,0,,,36,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,47,11/23/2019,232,214,0,56,,,,10,,,,44,10,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,48,11/30/2019,211,193,,45,,16,,,,,,49,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2019,49,12/07/2019,220,201,0,35,,,,,,,,59,10,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,50,12/14/2019,191,174,,35,,10,,,,,,47,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,51,12/21/2019,218,196,,45,,14,,,,,,54,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2019,52,12/28/2019,220,204,0,51,,,,,,,,50,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,1,01/04/2020,225,205,,34,,17,,11,0,,,59,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,2,01/11/2020,201,183,,40,,,,,0,,,47,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,3,01/18/2020,203,190,,34,10,,,16,,,,43,10,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,4,01/25/2020,197,173,,28,10,,,,,,0,47,13,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Rhode Island,2020,5,02/01/2020,219,206,,45,11,12,,,,,,53,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,6,02/08/2020,243,224,,49,12,12,,12,,,,54,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,7,02/15/2020,181,167,0,27,,13,,15,,,,37,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,8,02/22/2020,203,195,0,48,,,,11,0,,,36,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,9,02/29/2020,236,230,,43,,,,,,,15,64,13,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Rhode Island,2020,10,03/07/2020,247,231,,51,,15,,12,0,0,,59,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,11,03/14/2020,191,181,,47,,,,15,,,11,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Rhode Island,2020,12,03/21/2020,207,200,,38,,14,,19,,,,39,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Rhode Island,2020,13,03/28/2020,178,170,,31,,,0,,,0,,40,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,14,04/04/2020,209,199,,47,,,,11,,,,46,,16,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,15,04/11/2020,193,179,,30,,14,,,,,,44,,30,23,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,16,04/18/2020,195,192,,27,,16,,,,,,37,,49,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,17,04/25/2020,121,118,0,20,0,,,,,0,,22,,27,19,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Rhode Island,2020,18,05/02/2020,47,46,0,,0,,0,,,0,,13,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Rhode Island,2020,19,05/09/2020,11,11,0,0,0,,0,,0,,,,0,0,0,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
South Carolina,2019,1,01/05/2019,990,886,21,187,37,40,19,69,12,16,,201,47,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,2,01/12/2019,999,910,16,192,32,53,23,59,15,18,,201,63,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,3,01/19/2019,1034,945,13,193,32,47,27,65,15,24,11,237,56,0,0,,,,,,,,,,,,,,,
South Carolina,2019,4,01/26/2019,1034,925,13,205,30,52,,66,18,22,,220,57,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,5,02/02/2019,1015,907,12,203,35,49,13,58,19,17,15,208,47,0,0,,,,,,,,,,,,,,,
South Carolina,2019,6,02/09/2019,1037,937,16,204,32,51,12,72,22,18,12,213,64,0,0,,,,,,,,,,,,,,,
South Carolina,2019,7,02/16/2019,1000,922,17,193,30,54,26,70,15,25,11,220,42,0,0,,,,,,,,,,,,,,,
South Carolina,2019,8,02/23/2019,1036,961,13,207,33,50,21,66,22,20,,230,41,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,9,03/02/2019,936,854,20,181,27,50,21,55,,17,,206,53,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
South Carolina,2019,10,03/09/2019,1005,913,21,200,30,40,16,75,17,24,13,223,62,0,0,,,,,,,,,,,,,,,
South Carolina,2019,11,03/16/2019,1005,916,19,204,30,48,19,55,23,17,12,211,50,0,0,,,,,,,,,,,,,,,
South Carolina,2019,12,03/23/2019,1044,947,17,204,47,33,23,64,14,22,,214,55,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,13,03/30/2019,930,846,18,189,22,51,13,55,19,19,15,170,58,0,0,,,,,,,,,,,,,,,
South Carolina,2019,14,04/06/2019,983,901,18,223,34,41,20,62,16,19,18,217,43,0,0,,,,,,,,,,,,,,,
South Carolina,2019,15,04/13/2019,925,831,11,203,32,38,13,45,13,16,13,184,38,0,0,,,,,,,,,,,,,,,
South Carolina,2019,16,04/20/2019,889,806,12,201,27,51,,59,10,15,,193,36,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,17,04/27/2019,937,859,17,175,35,52,13,67,16,19,14,199,51,0,0,,,,,,,,,,,,,,,
South Carolina,2019,18,05/04/2019,972,887,20,208,37,38,12,51,12,18,10,217,58,0,0,,,,,,,,,,,,,,,
South Carolina,2019,19,05/11/2019,937,844,11,188,25,38,11,63,12,23,,210,53,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,20,05/18/2019,996,901,20,193,37,31,13,67,14,22,17,216,46,0,0,,,,,,,,,,,,,,,
South Carolina,2019,21,05/25/2019,967,856,14,212,38,31,10,57,16,17,12,206,31,0,0,,,,,,,,,,,,,,,
South Carolina,2019,22,06/01/2019,937,841,21,185,26,50,,54,15,16,,199,45,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,23,06/08/2019,919,845,11,198,38,40,10,56,15,17,,173,46,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,24,06/15/2019,965,871,11,199,34,44,11,62,17,16,13,203,47,0,0,,,,,,,,,,,,,,,
South Carolina,2019,25,06/22/2019,959,872,11,202,27,49,,48,17,19,14,204,56,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,26,06/29/2019,889,818,18,213,30,28,,53,18,13,10,207,46,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,27,07/06/2019,935,840,18,185,35,42,,46,12,13,12,222,43,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,28,07/13/2019,855,773,21,195,26,43,,42,22,18,15,168,40,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,29,07/20/2019,916,806,19,179,29,40,,52,16,17,16,194,37,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,30,07/27/2019,910,808,,204,20,31,,61,15,17,,173,44,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,31,08/03/2019,862,774,15,204,32,34,,34,14,22,12,158,51,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,32,08/10/2019,961,858,15,214,39,44,,46,12,18,19,201,35,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,33,08/17/2019,885,800,18,202,21,31,,43,13,16,,180,59,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,34,08/24/2019,911,825,12,197,31,37,,37,11,23,10,216,48,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,35,08/31/2019,901,818,,202,23,29,,45,19,18,,187,56,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,36,09/07/2019,930,821,24,168,25,47,,46,19,18,10,173,61,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,37,09/14/2019,902,803,20,193,37,45,,46,13,16,12,174,44,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,38,09/21/2019,921,829,13,179,39,48,10,51,20,16,,187,62,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,39,09/28/2019,938,833,18,189,21,40,11,44,14,11,14,220,56,0,0,,,,,,,,,,,,,,,
South Carolina,2019,40,10/05/2019,940,835,21,187,27,55,,38,17,19,11,193,43,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,41,10/12/2019,901,812,17,199,23,33,11,40,,17,,194,50,0,0,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
South Carolina,2019,42,10/19/2019,891,804,13,173,22,45,,52,17,22,,184,51,0,0,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
South Carolina,2019,43,10/26/2019,970,882,22,213,34,49,14,44,17,17,12,194,42,0,0,,,,,,,,,,,,,,,
South Carolina,2019,44,11/02/2019,952,857,19,195,31,41,,52,22,19,13,196,51,0,0,,,,,,,Suppressed (counts 1-9),,,,,,,,
South Carolina,2019,45,11/09/2019,930,842,24,187,23,41,15,53,13,17,,178,61,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,46,11/16/2019,946,859,15,185,20,42,12,63,27,19,17,200,51,0,0,,,,,,,,,,,,,,,
South Carolina,2019,47,11/23/2019,963,870,14,199,23,39,12,58,22,25,,204,56,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
South Carolina,2019,48,11/30/2019,1010,910,15,185,28,59,11,54,20,17,20,186,53,0,0,,,,,,,,,,,,,,,
South Carolina,2019,49,12/07/2019,1051,962,20,203,43,73,16,61,16,17,13,210,51,0,0,,,,,,,,,,,,,,,
South Carolina,2019,50,12/14/2019,1049,963,22,193,35,45,10,50,17,12,15,214,64,0,0,,,,,,,,,,,,,,,
South Carolina,2019,51,12/21/2019,1036,950,16,216,31,60,17,58,22,27,20,208,66,0,0,,,,,,,,,,,,,,,
South Carolina,2019,52,12/28/2019,1020,935,15,191,34,51,13,66,19,20,17,207,62,0,0,,,,,,,,,,,,,,,
South Carolina,2020,1,01/04/2020,1083,997,14,192,35,53,29,85,19,29,16,220,52,0,0,,,,,,,,,,,,,,,
South Carolina,2020,2,01/11/2020,1079,990,24,210,41,55,21,70,33,27,14,212,47,0,0,,,,,,,,,,,,,,,
South Carolina,2020,3,01/18/2020,1047,958,14,221,40,39,19,71,18,27,14,203,49,0,0,,,,,,,,,,,,,,,
South Carolina,2020,4,01/25/2020,1033,935,18,194,36,51,19,66,25,23,17,211,59,0,0,,,,,,,,,,,,,,,
South Carolina,2020,5,02/01/2020,1029,945,20,205,40,40,23,61,14,11,19,234,47,0,0,,,,,,,,,,,,,,,
South Carolina,2020,6,02/08/2020,1094,1000,20,199,42,45,29,68,25,17,28,233,44,0,0,,,,,,,,,,,,,,,
South Carolina,2020,7,02/15/2020,1001,927,23,195,27,50,27,57,16,15,51,203,40,0,0,,,,,,,,,,,,,,,
South Carolina,2020,8,02/22/2020,1033,956,17,197,32,57,13,73,20,20,35,211,50,0,0,,,,,,,,,,,,,,,
South Carolina,2020,9,02/29/2020,1040,972,22,196,37,44,20,75,15,22,37,216,42,0,0,,,,,,,,,,,,,,,
South Carolina,2020,10,03/07/2020,1128,1036,11,217,34,61,24,61,25,19,46,234,69,0,0,,,,,,,,,,,,,,,
South Carolina,2020,11,03/14/2020,1097,1030,14,214,34,59,15,59,26,23,44,216,61,0,0,,,,,,,,,,,,,,,
South Carolina,2020,12,03/21/2020,1066,993,15,210,31,60,18,54,16,13,50,228,58,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Carolina,2020,13,03/28/2020,1027,963,13,212,29,47,22,58,26,30,54,192,49,18,17,,,,,,,,,,,,,,,
South Carolina,2020,14,04/04/2020,1035,971,14,184,42,55,15,59,21,18,53,205,36,35,34,,,,,,,,,,,,,,,
South Carolina,2020,15,04/11/2020,1110,1039,12,196,41,53,13,48,17,17,70,212,54,51,45,,,,,,,,,,,,,,,
South Carolina,2020,16,04/18/2020,1011,945,16,171,35,58,13,55,22,16,73,194,52,43,39,,,,,,,,,,,,,,,
South Carolina,2020,17,04/25/2020,902,845,12,175,19,43,,52,,14,69,166,47,37,36,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
South Carolina,2020,18,05/02/2020,662,630,10,140,24,34,,38,12,,60,131,36,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Carolina,2020,19,05/09/2020,406,389,,79,,18,,16,12,10,35,92,21,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
South Carolina,2020,20,05/16/2020,13,12,0,,,,0,0,0,0,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
South Dakota,2019,1,01/05/2019,169,155,,44,,,,16,,,,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,2,01/12/2019,161,152,,32,,,,13,,,,42,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,3,01/19/2019,151,139,,22,,,,14,,0,0,32,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
South Dakota,2019,4,01/26/2019,164,152,,36,,10,,17,,,0,33,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,5,02/02/2019,185,175,,38,,15,,11,,,0,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,6,02/09/2019,149,135,,22,,,11,,,,,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,7,02/16/2019,182,166,,45,,14,10,,,,,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,8,02/23/2019,157,148,,30,,,,,,,,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,9,03/02/2019,162,150,,25,10,16,,,,,,44,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,10,03/09/2019,176,161,,34,,16,,15,,,0,34,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,11,03/16/2019,177,166,,37,,10,,12,,,,38,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,12,03/23/2019,162,150,,32,,,,10,,,,38,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,13,03/30/2019,142,132,,30,,,,,,,0,32,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,14,04/06/2019,167,151,,34,,,0,13,,,,38,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,15,04/13/2019,157,146,,30,,,,,,,,37,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,16,04/20/2019,187,176,,40,,10,,19,,,,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,17,04/27/2019,149,140,,26,,,,15,,,,27,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,18,05/04/2019,184,172,,44,,13,,13,,,0,40,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
South Dakota,2019,19,05/11/2019,165,153,,36,,11,,,,,,42,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,20,05/18/2019,133,123,,28,,10,,,0,0,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
South Dakota,2019,21,05/25/2019,175,159,,42,,,,,,,,29,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,22,06/01/2019,152,145,,32,,,,13,0,,0,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
South Dakota,2019,23,06/08/2019,149,137,0,34,,,,,,0,0,44,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
South Dakota,2019,24,06/15/2019,154,131,0,35,,,0,,,0,,36,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,25,06/22/2019,152,132,0,25,,11,,,0,,,37,10,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
South Dakota,2019,26,06/29/2019,163,148,,34,,,,,,,,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
South Dakota,2019,27,07/06/2019,151,141,,32,,10,,,,,0,35,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
